Project Name,(P1) Dangling Else,(P2) Initializations in Conditions,(P3) Logic as Control Flow,(P4) Conditional Operator,(P5) Operator Precedence,(P6) Comma Operator,(P7) Reversed Subscript,(P8) Pointer Arithmetic,(P9) Multiple Initializations,(P10) Argument as Value,(P11) Post-Increment,(P12) Pre-Increment
Cinder,4,69,1,911,0,3631,0,23,206,143,3273,3434
citus,0,29,0,57,0,748,0,0,0,7,417,21
cleanflight,0,40,1,757,8,5694,0,2,471,25,8182,344
CMake,0,394,0,1189,10,1664,0,15,150,189,2972,839
cmus,1,28,5,132,0,49,0,1,71,5,714,27
collectd,0,315,0,388,0,837,0,3,33,15,1243,238
contiki,9,271,1,726,7,1450,0,13,95,145,3312,1050
ctags,0,135,0,329,0,508,0,1,22,15,776,494
curl,0,52,0,884,0,609,0,7,33,57,2052,190
dmd,0,62,5,674,16,337,0,55,4,17,686,92
edk2,6,1762,1,3598,39,19128,0,59,686,514,19148,3408
FFmpeg,10,4101,22,5723,40,8455,0,162,2577,1500,25333,886
FreeRDP,0,1134,0,946,0,2505,0,139,111,118,3303,158
git,2,426,8,1388,2,704,0,4,530,179,3712,517
glfw,0,21,1,234,2,498,0,1,73,44,531,243
grpc,0,11,1,49,0,373,0,2,4,9,130,31
hiredis,0,16,0,18,0,54,0,0,14,4,103,1
httpd,0,1390,3,1776,0,2976,0,0,208,120,2015,1238
irssi,1,43,0,791,0,288,0,0,24,60,746,60
jansson,0,1,0,16,0,9,0,0,3,8,80,5
JohnTheRipper,11,1423,9,851,2,2174,0,43,420,305,5806,2201
krb5,2,1765,4,1041,6,4151,0,1,544,189,3866,495
libpng,6,74,0,218,3,619,0,0,62,126,994,828
librdkafka,0,275,0,486,0,324,0,1,18,14,939,49
libssh2,0,63,0,131,0,182,0,15,50,8,293,75
libuv,0,29,0,75,5,80,0,0,18,14,827,116
libwebsockets,0,63,0,132,0,430,0,5,212,16,1313,124
lxc,0,103,0,208,0,297,0,0,108,5,560,30
mongo,4,1822,40,2823,13,6323,0,58,388,479,8490,3671
mpv,0,71,4,908,4,991,0,2,111,103,1977,63
openssl,0,1528,1,790,52,1711,0,155,841,253,3413,724
phpredis,0,212,0,39,0,194,0,0,69,0,92,30
poco,8,622,12,1435,8,4097,0,26,79,169,5686,784
premake-core,2,1128,0,1076,0,2257,0,9,136,104,2341,286
Python,0,0,0,0,0,0,0,0,0,0,0,0
qmk_firmware,0,227,2,1158,6,651,0,4,21,61,2116,533
radare2,2,1568,5,3818,13,3880,0,12,999,439,6803,647
reactos,20,7308,22,12947,92,38044,0,116,4521,3064,46345,6881
redis,0,644,0,677,5,705,0,0,258,66,2741,116
RetroArch,12,1193,2,2366,3,7753,0,32,407,379,6606,1358
RIOT,0,238,0,429,6,2059,0,19,84,18,2094,436
s2n,0,13,0,31,0,30,0,0,6,0,302,0
statsite,0,22,0,51,1,90,0,0,13,4,198,8
stb,9,16,0,426,0,234,0,2,333,98,646,1820
swift-corelibs-foundation,0,139,7,1448,2,1799,0,12,203,33,1302,305
syslog-ng,0,80,0,246,0,394,0,0,20,22,787,97
systemd,2,340,3,1989,6,1838,0,9,873,202,2786,87
the_silver_searcher,0,10,0,13,0,17,0,2,3,2,98,12
tvheadend,0,1366,1,1377,0,1069,0,3,356,94,1732,81
weechat,0,41,0,2520,0,1485,0,4,16,1,1547,11